fit_time,score_time,test_roc_auc_scorer,test_accuracy,test_f1_score,test_domprc,test_aps
0.9801313877105713,0.007131338119506836,0.9886363636363636,0.9142857142857143,0.9028677150786308,0.6571428571428571,0.9947856280193236
0.8416121006011963,0.0067789554595947266,0.9356060606060606,0.8571428571428571,0.8299319727891157,0.7142857142857143,0.9768323996265172
0.8571453094482422,0.00672149658203125,0.9696969696969697,0.9428571428571428,0.9299999999999999,0.7428571428571429,0.9861112498612498
0.8572077751159668,0.006661653518676758,0.9886363636363636,0.8857142857142857,0.8731884057971014,0.6285714285714286,0.9947856280193236
0.8455641269683838,0.006731271743774414,0.9431818181818182,0.8857142857142857,0.8731884057971014,0.6285714285714286,0.977332251082251
0.8729417324066162,0.0067729949951171875,0.9507575757575758,0.9142857142857143,0.9028677150786308,0.6571428571428571,0.9815988996242618
0.8575534820556641,0.006674766540527344,0.9924242424242424,0.9142857142857143,0.9028677150786308,0.6571428571428571,0.9965972222222221
0.8612515926361084,0.006704568862915039,1.0,0.9428571428571428,0.9365942028985508,0.6285714285714286,0.9999999999999999
0.8539681434631348,0.006693124771118164,0.9848484848484849,0.9714285714285714,0.9659863945578231,0.7142857142857143,0.9928916886253842
0.8428282737731934,0.00672602653503418,0.9242424242424243,0.8571428571428571,0.8057713651498335,0.8285714285714286,0.9640907742836556
