fit_time,score_time,test_roc_auc_scorer,test_accuracy,test_f1_score,test_domprc,test_aps
0.7274341583251953,0.0065653324127197266,0.9166666666666666,0.9142857142857143,0.8582995951417004,0.8571428571428571,0.9701368272031559
0.6393556594848633,0.006438016891479492,0.9351851851851851,0.9142857142857143,0.8727272727272728,0.8,0.9814963167018673
0.6997344493865967,0.006133317947387695,0.9768518518518519,0.9428571428571428,0.9189814814814814,0.7714285714285715,0.9931679965651867
0.5819246768951416,0.006242036819458008,0.7371794871794872,0.7714285714285715,0.7008547008547008,0.7428571428571429,0.8664910371872383
0.6432030200958252,0.006075143814086914,0.9829059829059829,0.9142857142857143,0.891640866873065,0.7142857142857143,0.9942349957734572
0.6593730449676514,0.0063130855560302734,0.9907407407407408,0.9714285714285714,0.9611542730299667,0.7428571428571429,0.9974457215836525
0.634314775466919,0.006196737289428711,0.9305555555555556,0.8857142857142857,0.837962962962963,0.7714285714285715,0.9749413032719998
0.5918633937835693,0.006265163421630859,0.7731481481481483,0.7714285714285715,0.6759259259259259,0.7714285714285715,0.9064665886820438
0.6316347122192383,0.00614166259765625,0.9743589743589743,0.8857142857142857,0.837962962962963,0.8,0.9916337557716867
0.6323516368865967,0.006047964096069336,0.905982905982906,0.8285714285714286,0.8011363636363636,0.6285714285714286,0.9710972119667771
