fit_time,score_time,test_roc_auc_scorer,test_accuracy,test_f1_score,test_domprc,test_aps
0.9198341369628906,0.007042407989501953,0.9927536231884059,0.9714285714285714,0.9688888888888889,0.6285714285714286,0.9965217391304346
0.8534512519836426,0.007064342498779297,0.9818840579710144,0.9142857142857143,0.9028677150786308,0.6857142857142857,0.9909222661396573
0.9616050720214844,0.0069849491119384766,1.0,0.9428571428571428,0.9337121212121212,0.7142857142857143,1.0
0.8710076808929443,0.007301807403564453,1.0,0.9428571428571428,0.9404761904761905,0.5714285714285714,1.0
0.9562530517578125,0.007419586181640625,0.9895104895104896,0.8857142857142857,0.8833333333333333,0.5142857142857142,0.9945454545454545
0.8691143989562988,0.006707668304443359,0.9782608695652174,0.8285714285714286,0.8214285714285714,0.5428571428571428,0.988410788958993
0.8761866092681885,0.006668567657470703,0.9963768115942029,0.9714285714285714,0.9688888888888889,0.6285714285714286,0.9981884057971013
0.8870706558227539,0.008214712142944336,0.9963768115942029,0.9142857142857143,0.9095607235142118,0.5714285714285714,0.9981884057971013
0.9719851016998291,0.007025957107543945,0.993006993006993,0.9714285714285714,0.9698535745047372,0.6,0.9962121212121211
0.8658709526062012,0.007169485092163086,1.0,0.9428571428571428,0.9365942028985508,0.6857142857142857,1.0
