"","Taxa1","Site1","Site2","Spearman_r","p_value","adjust_p","Annotation"
"154","Malassezia_restricta","Ps","Ll",0.212707395992381,0.00249486719364432,0.0664783673131129,NA
"155","Micrococcus_luteus","Ax","Fo",0.211422597476065,0.00265343205067314,0.0698698054673371,NA
"156","Corynebacterium_tuberculostearicum","Fo","Ub",0.211173876576454,0.00268516426064611,0.0705265971265003,NA
"157","Brevibacterium_casei","Fo","Sc",0.211129464718173,0.00269086647441457,0.0706178247127229,NA
"158","Staphylococcus_epidermidis","Sc","Ll",0.210049342931243,0.00283297300214432,0.0738889383467077,NA
"159","Moraxella_osloensis","Ps","Sc",0.209985594384596,0.00284156886088273,0.0741016957208062,NA
"160","Moraxella_osloensis","Fo","Ac",0.209827927588323,0.00286293025976085,0.0745643917114676,NA
"161","Moraxella_osloensis","Fo","Vf",0.209250956091769,0.00294234697235232,0.0761214612361819,NA
"162","Cutibacterium_granulosum","Vf","Ll",0.206507008210255,0.00334802638124816,0.0846584600111484,NA
"163","Brevibacterium_casei","Ps","Ub",0.2056320192946,0.00348763770396578,0.0876996061693499,NA
"164","Staphylococcus_epidermidis","Ax","Vf",0.205151585671466,0.00356651083368604,0.0893550776497187,NA
"165","Cutibacterium_granulosum","Sc","Ll",-0.205113891379811,0.00357276674228101,0.0894541990370707,NA
"166","Cutibacterium_acnes","Ax","Ll",0.204905738579087,0.00360749141711272,0.0901810945695001,NA
"167","Cutibacterium_acnes","Sc","Ac",0.204579921368146,0.00366245711559094,0.0910737228160965,NA
"168","Brevibacterium_casei","Ch","Ub",0.204495604188217,0.00367680405687457,0.0913793514679587,NA
"169","Brevibacterium_casei","Ax","Fo",0.204130983260344,0.00373943149658216,0.0928047890066099,NA
"170","Malassezia_globosa","Fo","Vf",0.20061059863073,0.00439544976048597,0.105987832729265,NA
"171","Staphylococcus_caprae_capitis","Fo","Ub",0.200543814078782,0.00440883817884734,0.106215837939122,NA
"172","Streptococcus_mitis_oralis_pneumoniae","Fo","Ac",0.200533618101717,0.00441088540881999,0.106254049555839,NA
"173","Brevibacterium_casei","Ps","Ac",-0.200246086446309,0.00446897150146246,0.107300443905326,NA
"174","Malassezia_restricta","Ps","Ch",0.19997704843576,0.00452394350736056,0.108483649986634,NA
"175","Cutibacterium_acnes","Fo","Vf",0.197406435160879,0.00508065490200848,0.119268692627262,NA
"176","Staphylococcus_caprae_capitis","Fo","Ac",0.197256992654257,0.00511483370369278,0.119893374620192,NA
"177","Staphylococcus_caprae_capitis","Ub","Ll",0.197237581442874,0.00511928831716396,0.119994463075259,NA
"178","Staphylococcus_caprae_capitis","Ch","Ac",0.196715460409618,0.00524042122286612,0.122335990959422,NA
"179","Staphylococcus_caprae_capitis","Ch","Ub",0.195778267391456,0.00546431270636532,0.126567140564425,NA
"180","Cutibacterium_avidum","Sc","Ub",0.195358800402582,0.00556726879723682,0.128539558954492,NA
"181","Brevibacterium_casei","Vf","Ll",0.192709262805664,0.00625868405991273,0.141464666827545,NA
"182","Moraxella_osloensis","Ax","Ch",0.192420737546968,0.00633842730190726,0.142735041877518,NA
"183","Corynebacterium_tuberculostearicum","Ps","Ll",-0.191864476507413,0.00649473336233221,0.145534691661669,NA
"184","Micrococcus_luteus","Ch","Ac",0.187438886813408,0.00786598591556172,0.169345058414166,NA
"185","Staphylococcus_epidermidis","Ch","Ll",0.185559411466631,0.00852233075316871,0.180452792785379,NA
"186","Brevibacterium_casei","Ax","Sc",0.183266300894764,0.00938862072872159,0.194482156630544,NA
"187","Staphylococcus_caprae_capitis","Fo","Ch",0.183024524228047,0.00948435376302085,0.196099828211397,NA
"188","Staphylococcus_hominis","Ax","Fo",0.18285674917692,0.00955129217187002,0.197138104203663,NA
"189","Cutibacterium_avidum","Ps","Sc",0.182151274239859,0.00983735739267148,0.201731568112924,NA
"190","Corynebacterium_pseudogenitalium","Ps","Ub",-0.180885879999831,0.010369493164442,0.210454230109195,NA
"191","Corynebacterium_kroppenstedtii","Sc","Vf",-0.178943069764705,0.0112360136363916,0.224137164819675,NA
"192","Streptococcus_mitis_oralis_pneumoniae","Ax","Ub",0.177052300732177,0.0121399661369603,0.237741129225472,NA
"193","Finegoldia_magna","Ch","Ub",0.176398510436943,0.0124670925991367,0.242837073653071,NA
"194","Corynebacterium_tuberculostearicum","Ac","Ub",0.176005284901658,0.0126675536214981,0.245996864583538,NA
"195","Corynebacterium_kroppenstedtii","Ax","Ac",-0.175973687987888,0.012683783520077,0.246300717775453,NA
