"","Spearman_r","p_value","Site1","Taxa1","Site2","Taxa2","adjust_p","Type1","Type2","Annotation"
"1",0.791323894957193,3.51119756625125e-44,"Vf","Micrococcus_luteus","Ll","Micrococcus_luteus",2.2055942112905e-41,"Inter-Site","Same-Species","***"
"2",0.75352726725226,6.40887085420284e-38,"Vf","Micrococcus_luteus","Ac","Micrococcus_luteus",4.01385982152328e-35,"Inter-Site","Same-Species","***"
"3",0.727512403173898,3.11409318396332e-34,"Vf","Moraxella_osloensis","Ll","Moraxella_osloensis",1.9469811422043e-31,"Inter-Site","Same-Species","***"
"4",0.719792007924453,3.21028101439949e-33,"Vf","Staphylococcus_epidermidis","Ac","Staphylococcus_epidermidis",2.0056351309843e-30,"Inter-Site","Same-Species","***"
"5",0.709115352398862,7.12764966003512e-32,"Ac","Micrococcus_luteus","Ll","Micrococcus_luteus",2.62388852343634e-29,"Inter-Site","Same-Species","***"
"6",0.685440027055299,4.28481447277308e-29,"Vf","Moraxella_osloensis","Ac","Moraxella_osloensis",1.14223834327587e-26,"Inter-Site","Same-Species","***"
"7",0.662183781061053,1.30598054248598e-26,"Vf","Malassezia_restricta","Ac","Malassezia_restricta",3.46651192635782e-24,"Inter-Site","Same-Species","***"
"8",0.633066039686192,8.51128600018409e-24,"Vf","Micrococcus_luteus","Ub","Micrococcus_luteus",2.24905408564456e-21,"Inter-Site","Same-Species","***"
"9",0.624309864909754,5.23228242951965e-23,"Fo","Malassezia_restricta","Ch","Malassezia_restricta",1.375856321735e-20,"Inter-Site","Same-Species","***"
"10",0.620432331838208,1.14829131198172e-22,"Vf","Malassezia_restricta","Ll","Malassezia_restricta",3.01636336918124e-20,"Inter-Site","Same-Species","***"
"11",0.610022883851353,8.98190886227599e-22,"Ub","Micrococcus_luteus","Ll","Micrococcus_luteus",2.35402540915677e-19,"Inter-Site","Same-Species","***"
"12",0.594508532431689,1.67982062248233e-20,"Vf","Corynebacterium_pseudogenitalium","Ac","Corynebacterium_pseudogenitalium",4.39438231507885e-18,"Inter-Site","Same-Species","***"
"13",0.589544745626343,4.1483534840586e-20,"Ac","Micrococcus_luteus","Ub","Micrococcus_luteus",1.08464252092898e-17,"Inter-Site","Same-Species","***"
"14",0.584593771581213,1.00651784923003e-19,"Vf","Staphylococcus_epidermidis","Ll","Staphylococcus_epidermidis",2.62977663140142e-17,"Inter-Site","Same-Species","***"
"15",0.580514543423095,2.06584713753176e-19,"Ps","Malassezia_restricta","Sc","Malassezia_restricta",4.70179921467783e-17,"Inter-Site","Same-Species","***"
"16",0.580253944369779,2.16221926415511e-19,"Fo","Dermabacter_sp_HFH0086","Ac","Dermabacter_sp_HFH0086",4.70179921467783e-17,"Inter-Site","Same-Species","***"
"17",0.579938682922895,2.28471053568935e-19,"Ac","Malassezia_restricta","Ll","Malassezia_restricta",4.96645516829516e-17,"Inter-Site","Same-Species","***"
"18",0.568919222980575,1.51128901373999e-18,"Vf","Cutibacterium_acnes","Ac","Cutibacterium_acnes",2.92945275905456e-16,"Inter-Site","Same-Species","***"
"19",0.5687690654147,1.54994913340938e-18,"Fo","Micrococcus_luteus","Ub","Micrococcus_luteus",2.94459988696189e-16,"Inter-Site","Same-Species","***"
"20",0.561063179596369,5.57016974793093e-18,"Ac","Moraxella_osloensis","Ll","Moraxella_osloensis",1.02492174718832e-15,"Inter-Site","Same-Species","***"
"21",0.55798461051523,9.20054266111553e-18,"Ac","Staphylococcus_epidermidis","Ll","Staphylococcus_epidermidis",1.69242576696223e-15,"Inter-Site","Same-Species","***"
"22",0.538040105132571,2.10227259761322e-16,"Vf","Moraxella_osloensis","Ub","Moraxella_osloensis",3.85674202735814e-14,"Inter-Site","Same-Species","***"
"23",0.526603165079127,1.15421742181851e-15,"Ac","Cutibacterium_acnes","Ub","Cutibacterium_acnes",2.10695677853378e-13,"Inter-Site","Same-Species","***"
