fit_time,score_time,test_roc_auc_scorer,test_accuracy,test_f1_score,test_domprc,test_aps
0.6385900974273682,0.006798744201660156,0.9000000000000001,0.8888888888888888,0.8615384615384616,0.7222222222222222,0.9382140627603962
0.5821695327758789,0.0061492919921875,0.88,0.8,0.7471620227038184,0.7428571428571429,0.9515371970267112
0.6062014102935791,0.006204366683959961,0.928,0.8857142857142857,0.8504273504273505,0.7714285714285715,0.9623941293223164
0.6346731185913086,0.006482362747192383,0.992,0.9428571428571428,0.9337121212121212,0.6571428571428571,0.9968615384615386
0.578399658203125,0.006116628646850586,0.956,0.8571428571428571,0.8381128584643849,0.6285714285714286,0.9826045925089406
0.5558891296386719,0.006017446517944336,0.9230769230769231,0.8611111111111112,0.8212512413108242,0.75,0.9704088087104303
0.5783994197845459,0.006194591522216797,0.972,0.8857142857142857,0.8731884057971014,0.6,0.9894373626373627
0.5941238403320312,0.006514787673950195,0.924,0.8857142857142857,0.8600000000000001,0.7142857142857143,0.9646555390880738
0.611086368560791,0.006283998489379883,0.952,0.8857142857142857,0.8504273504273505,0.7714285714285715,0.9806077671121152
0.5903191566467285,0.006036996841430664,0.96,0.9142857142857143,0.8979591836734694,0.6857142857142857,0.9810523710805581
