X1	X2
17	46.22222222222223
63.27767507568321	406.5619133427958
316.54053845560446	286.320987654321
114.72413793103449	15
380.10344827586204	155
132.97809149116716	335.1111111111111
94.10344827586208	166
429.4137931034483	39
350.51724137931035	92
176.53696338169974	47.59280003196284
351.5842783306333	404.44444444444446
18.66874951785852	231.06852882656125
174.69682943763019	285.03703703703707
193	199
306.52804134845326	354.3703703703704
354.10344827586204	12
265.34482758620686	67
376.6155210985112	353.08641975308643
29.26393165637134	329.71139376989356
169.41379310344826	143
77.9655172413793	74
235.60618683946618	0
264.8093034019903	233.679012345679
234.81046514352033	126.5070919866289
433	103
276.4905500269999	416
19.198508624784175	103.81923304966233
27.01249710715112	173.33333333333331
