X1	X2
219	471
78	274
380	246
273	355
419	114
552	274.5
181	365
68	115.6380090497737
581	139.5
484	152.5
295	78.5
218	304
245	232
437	448
582	198.5
409	177
221	133
127	0
287	14.5
301	282
363	426
383	318
191	426
121	327
267	402
487	235.5
447	46
346	154
86	397
406	373
