X1	X2
88.5	165
272.5	147
218.30333953499257	346.256099798754
283.5	39
432.5	242
156.7442377224699	304.6096730429656
192.68843683083514	282.1471321695761
89.5	92
194.5	0
231.26315044289208	259.83976428049294
461.5	303
318.7418740712137	104.70682461518095
187.3436830835118	169.06982543640896
98.5	17
229.5	72
281.76766595289075	271.77306733167086
116.08029978586723	368.25187032418955
478.5	178
369.5	154
380.5	200
411.5	354
412.5	96
367.5	309
110.16991727220602	238.4959705681514
479.5	110
161.5	215
300.47430406852254	332.9800498753117
172.2002141327623	389
349.5	49
