X1	X2
42	36
743	269
423	402
270	276
217	0
471	256
170	342
106	172
654	12
386	141
632	416
231	43
710	355
741	61
519	378
421	71
216	196
269	343
413	338
507	10
760	138
347	358
191	121
74	89
92	252
348	18
296	218
608	293
40	188
310	99
289	418
